anime_id,title,source,rating,score,scored_by,premiered,studio
33808,girlfriend (note),game,g - all ages,6.22,333,unknown,
23765,yamiyo no jidaigeki,unknown,g - all ages,4.24,21,unknown,sunrise
8373,shin mitsubachi maya no bouken,unknown,g - all ages,6.39,865,fall 1982,nippon animation
209,r.o.d the tv,light novel,pg-13 - teens 13 or older,7.61,22411,fall 2003,j.c.staff
33358,mahou no star magical emi: finale! finale!,original,g - all ages,6.06,31,unknown,studio pierrot
30065,osamishi tani no wakare uta,original,g - all ages,5.29,62,unknown,
30721,hacka doll the animation,other,pg-13 - teens 13 or older,6.51,10489,fall 2015,creators in pack
28369,dr. slump: arale-chan specials,manga,pg-13 - teens 13 or older,6.36,84,unknown,toei animation
10823,ranma ½: 1994 music calendar,unknown,pg-13 - teens 13 or older,6.79,695,unknown,
9509,yami no purple eye,manga,pg-13 - teens 13 or older,5,274,unknown,toei animation
13047,anime koukyoushi: jungle taitei,unknown,g - all ages,6.73,160,unknown,madhouse
2689,akai koudan zillion: utahime yakyoku,unknown,pg-13 - teens 13 or older,6.01,234,unknown,production i.g
24073,konna watashitachi ga nariyuki de heroine ni natta kekka www,unknown,pg - children,5.21,33,unknown,
27849,nezumi-kun no chokki,unknown,g - all ages,5.57,7,unknown,toei animation
7953,defend love,unknown,g - all ages,6,778,unknown,"sunrise, telecom animation film"
3844,apache yakyuugun,manga,g - all ages,6.07,52,fall 1971,toei animation
31699,good morning!!! doronjo,original,g - all ages,5.7,23,spring 2015,oddjob
35935,koto no shidai,original,g - all ages,3.67,27,unknown,
8897,ganbare! marine kid,unknown,pg - children,5.48,33,fall 1966,
30450,dr. slump: hoyoyo! arale no himitsu dai koukai dayo!!,manga,pg-13 - teens 13 or older,6.03,98,unknown,toei animation
34859,tick tock,music,g - all ages,4.25,24,unknown,
35139,crayon shin-chan x panpaka pants: aeon cinema manner movie collab,original,g - all ages,5.36,47,unknown,"shin-ei animation, dle"
22,tennis no ouji-sama,manga,pg-13 - teens 13 or older,8.01,48149,fall 2001,trans arts
2953,egao,original,g - all ages,6.66,6516,unknown,
32219,raldessia chronicles,game,g - all ages,5.38,63,unknown,
